symbol;probability;information
<ARP, 10.2.202.166>;0.000262249224179;11.8967738747
<ARP, 10.2.202.37>;8.74164080598e-05;13.4817363754
<ARP, 10.2.200.175>;0.000437082040299;11.1598082805
<ARP, 10.2.7.15>;0.00104899689672;9.89677387471
<ARP, 10.2.6.11>;0.00205428558941;8.92714752376
<ARP, 10.2.203.191>;0.000218541020149;12.1598082805
<ARP, 10.2.203.66>;8.74164080598e-05;13.4817363754
<ARP, 10.2.202.17>;0.000786747672538;10.311811374
<ARP, 10.2.3.249>;0.000743039468508;10.3942735342
<ARP, 10.2.200.13>;0.000218541020149;12.1598082805
<ARP, 10.2.202.66>;0.000568206652389;10.7812966573
<ARP, 10.2.2.11>;0.00183574456926;9.08941895266
<ARP, 10.2.4.3>;0.00183574456926;9.08941895266
<ARP, 10.2.202.129>;0.000218541020149;12.1598082805
<ARP, 10.2.201.195>;0.000393373836269;11.311811374
<ARP, 10.2.200.191>;4.37082040299e-05;14.4817363754
<ARP, 10.2.3.4>;0.00201057738538;8.95817441938
<ARP, 10.2.200.156>;8.74164080598e-05;13.4817363754
<ARP, 10.2.0.1>;0.000349665632239;11.4817363754
<ARP, 10.2.202.198>;0.000568206652389;10.7812966573
<ARP, 10.2.1.8>;0.00135495432493;9.52754006505
<ARP, 10.2.0.65>;0.0224660168714;5.47611182624
<ARP, 10.2.202.239>;4.37082040299e-05;14.4817363754
<ARP, 10.2.2.21>;0.00183574456926;9.08941895266
<ARP, 10.2.203.98>;8.74164080598e-05;13.4817363754
<ARP, 10.2.4.249>;4.37082040299e-05;14.4817363754
<ARP, 10.2.200.58>;4.37082040299e-05;14.4817363754
<ARP, 10.2.4.20>;0.00187945277329;9.05547162073
<ARP, 10.2.6.16>;0.00209799379344;8.89677387471
<ARP, 10.2.203.198>;0.000218541020149;12.1598082805
<ARP, 10.2.1.15>;0.00192316097732;9.0223047568
<ARP, 10.2.201.172>;0.000874164080598;10.1598082805
<ARP, 10.2.201.152>;4.37082040299e-05;14.4817363754
<ARP, 10.2.7.254>;8.74164080598e-05;13.4817363754
<ARP, 10.2.4.4>;0.00013112461209;12.8967738747
<ARP, 169.254.45.40>;4.37082040299e-05;14.4817363754
<ARP, 169.254.109.139>;4.37082040299e-05;14.4817363754
<ARP, 10.2.5.5>;0.000699331264478;10.4817363754
<ARP, 10.2.202.154>;4.37082040299e-05;14.4817363754
<ARP, 10.2.202.93>;4.37082040299e-05;14.4817363754
<ARP, 10.2.203.110>;0.000437082040299;11.1598082805
<ARP, 10.2.201.16>;0.000393373836269;11.311811374
<ARP, 10.2.1.3>;0.00166091175314;9.23380886199
<ARP, 10.2.202.39>;4.37082040299e-05;14.4817363754
<ARP, 10.2.203.81>;0.000218541020149;12.1598082805
<ARP, 10.2.200.123>;4.37082040299e-05;14.4817363754
<ARP, 10.2.200.51>;0.000699331264478;10.4817363754
<ARP, 169.254.105.101>;4.37082040299e-05;14.4817363754
<ARP, 10.2.203.104>;0.0656060142489;3.93002811381
<ARP, 10.2.201.94>;0.000262249224179;11.8967738747
<ARP, 10.2.7.1>;0.0017483281612;9.15980828055
