symbol;probability;information
<ARP, 10.2.200.150>;0.000691350437855;10.4982951974
<ARP, 10.2.201.15>;7.68167153173e-05;13.6682201989
<ARP, 10.2.1.2>;0.00115225072976;9.76132960328
<ARP, 10.2.203.86>;0.00576125364879;7.43940150839
<ARP, 10.2.201.106>;7.68167153173e-05;13.6682201989
<ARP, 10.2.0.254>;0.0742049469965;3.75234082005
<ARP, 10.2.7.15>;0.00107543401444;9.86086527683
<ARP, 10.2.6.11>;0.000307266861269;11.6682201989
<ARP, 10.2.7.20>;0.000384083576586;11.346292104
<ARP, 10.255.255.254>;0.000153633430635;12.6682201989
<ARP, 169.254.42.234>;7.68167153173e-05;13.6682201989
<ARP, 10.2.2.11>;0.000998617299124;9.96778048075
<ARP, 10.2.202.69>;0.000460900291904;11.0832576982
<ARP, 10.2.200.238>;0.000614533722538;10.6682201989
<ARP, 10.2.4.3>;0.000153633430635;12.6682201989
<ARP, 10.2.3.249>;0.000460900291904;11.0832576982
<ARP, 10.2.2.6>;0.00084498386849;10.2087885803
<ARP, 10.2.203.74>;7.68167153173e-05;13.6682201989
<ARP, 10.2.5.254>;0.000153633430635;12.6682201989
<ARP, 10.2.200.29>;7.68167153173e-05;13.6682201989
<ARP, 10.2.3.4>;0.000921800583807;10.0832576982
<ARP, 10.2.203.1>;0.000230450145952;12.0832576982
<ARP, 10.2.0.1>;0.000230450145952;12.0832576982
<ARP, 10.2.200.180>;7.68167153173e-05;13.6682201989
<ARP, 10.2.1.5>;0.00084498386849;10.2087885803
<ARP, 10.2.202.228>;7.68167153173e-05;13.6682201989
<ARP, 10.2.1.8>;0.000153633430635;12.6682201989
<ARP, 10.2.0.65>;0.0131356583193;6.250367684
<ARP, 10.2.3.6>;0.00107543401444;9.86086527683
<ARP, 10.2.2.21>;0.00084498386849;10.2087885803
<ARP, 10.2.4.13>;0.000460900291904;11.0832576982
<ARP, 10.2.4.20>;0.000230450145952;12.0832576982
<ARP, 10.2.6.16>;0.000307266861269;11.6682201989
<ARP, 10.2.5.11>;7.68167153173e-05;13.6682201989
<ARP, 10.2.201.181>;0.000460900291904;11.0832576982
<ARP, 10.2.201.167>;0.000230450145952;12.0832576982
<ARP, 10.2.1.15>;0.000998617299124;9.96778048075
<ARP, 10.2.201.81>;0.000460900291904;11.0832576982
<ARP, 10.2.1.20>;0.00107543401444;9.86086527683
<ARP, 10.2.7.254>;0.000460900291904;11.0832576982
<ARP, 10.2.203.73>;7.68167153173e-05;13.6682201989
<ARP, 10.2.200.88>;7.68167153173e-05;13.6682201989
<ARP, 10.2.7.16>;0.00107543401444;9.86086527683
<ARP, 10.2.5.24>;0.000998617299124;9.96778048075
<ARP, 10.2.5.5>;0.000153633430635;12.6682201989
<ARP, 10.2.202.154>;0.000230450145952;12.0832576982
<ARP, 10.2.203.46>;0.000153633430635;12.6682201989
<ARP, 10.2.202.145>;0.000614533722538;10.6682201989
<ARP, 10.2.0.7>;0.0103702565678;6.59140460184
<ARP, 10.2.202.221>;0.000153633430635;12.6682201989
<ARP, 10.2.1.3>;0.000230450145952;12.0832576982
<ARP, 10.2.200.44>;7.68167153173e-05;13.6682201989
<ARP, 10.2.201.57>;7.68167153173e-05;13.6682201989
<ARP, 10.2.5.21>;0.00107543401444;9.86086527683
<ARP, 10.210.210.199>;0.000153633430635;12.6682201989
<ARP, 10.2.6.10>;0.000691350437855;10.4982951974
<ARP, 10.2.203.104>;0.00153633430635;9.346292104
<ARP, 10.2.7.1>;0.00115225072976;9.76132960328
<ARP, 10.2.7.25>;0.000230450145952;12.0832576982
<ARP, 10.2.203.12>;7.68167153173e-05;13.6682201989
<ARP, 10.2.200.135>;0.00115225072976;9.76132960328
<ARP, 10.2.2.10>;0.000768167153173;10.346292104
<ARP, 10.2.4.2>;7.68167153173e-05;13.6682201989
<ARP, 10.2.6.7>;0.000230450145952;12.0832576982
<ARP, 10.2.200.87>;7.68167153173e-05;13.6682201989
<ARP, 10.2.200.158>;0.000768167153173;10.346292104
<ARP, 10.2.2.1>;0.00084498386849;10.2087885803
<ARP, 10.2.203.75>;0.000153633430635;12.6682201989
<ARP, 10.2.201.208>;0.000153633430635;12.6682201989
<ARP, 10.2.200.190>;0.000384083576586;11.346292104
<ARP, 10.2.3.5>;0.00115225072976;9.76132960328
<ARP, 10.2.201.207>;7.68167153173e-05;13.6682201989
<ARP, 10.2.3.8>;0.00122906744508;9.66822019889
<ARP, 10.2.1.9>;0.00084498386849;10.2087885803
<ARP, 10.2.6.1>;0.00084498386849;10.2087885803
<ARP, 10.2.4.19>;0.000307266861269;11.6682201989
<ARP, 10.2.4.12>;0.000998617299124;9.96778048075
<ARP, 10.2.4.21>;7.68167153173e-05;13.6682201989
<ARP, 10.2.6.19>;0.000768167153173;10.346292104
<ARP, 10.2.7.8>;0.000537717007221;10.8608652768
<ARP, 10.2.5.12>;0.000998617299124;9.96778048075
<ARP, 10.2.0.198>;0.0122906744508;6.346292104
