ip_address,rtt,type,hop_num
129.250.4.13,14.179,11,12
129.250.4.13,13.54,11,12
129.250.4.13,13.8,11,12
129.250.4.13,13.443,11,12
129.250.4.13,13.723,11,12
129.250.4.13,13.747,11,12
129.250.4.13,13.351,11,12
129.250.4.13,16.744,11,12
129.250.4.13,15.088,11,12
129.250.4.13,13.767,11,12
129.250.4.13,14.219,11,12
129.250.4.13,10.918,11,12
129.250.4.13,13.325,11,12
129.250.4.13,12.394,11,12
129.250.4.13,13.047,11,12
129.250.4.13,15.2,11,12
129.250.4.13,13.965,11,12
129.250.4.13,13.036,11,12
129.250.4.13,14.055,11,12
129.250.4.13,13.177,11,12
129.250.4.13,39.371,11,12
129.250.4.13,13.576,11,12
129.250.4.13,13.788,11,12
129.250.4.13,12.845,11,12
129.250.4.13,12.803,11,12
129.250.4.13,15.011,11,12
129.250.4.13,12.834,11,12
129.250.4.13,13.46,11,12
129.250.4.13,11.979,11,12
129.250.4.13,13.903,11,12
129.250.4.13,13.36,11,12
129.250.4.13,13.413,11,12
129.250.4.13,13.656,11,12
129.250.4.13,14.13,11,12
129.250.4.13,13.167,11,12
129.250.4.13,12.752,11,12
129.250.4.13,13.1,11,12
129.250.4.13,12.477,11,12
129.250.4.13,13.2,11,12
129.250.4.13,13.408,11,12
129.250.2.54,11.581,11,13
129.250.2.54,15.412,11,13
129.250.2.54,13.385,11,13
129.250.2.54,12.198,11,13
129.250.2.54,13.023,11,13
129.250.2.54,14.042,11,13
129.250.2.54,13.844,11,13
129.250.2.54,12.936,11,13
129.250.2.54,13.108,11,13
129.250.2.54,13.45,11,13
129.250.2.54,16.826,11,13
129.250.2.54,18.455,11,13
129.250.2.54,20.827,11,13
129.250.2.54,20.347,11,13
129.250.2.54,15.316,11,13
129.250.2.54,14.227,11,13
129.250.2.54,12.463,11,13
129.250.2.54,11.919,11,13
129.250.2.54,13.006,11,13
129.250.2.54,13.534,11,13
129.250.2.54,13.329,11,13
129.250.2.54,14.052,11,13
129.250.2.54,14.349,11,13
129.250.2.54,13.904,11,13
129.250.2.54,13.943,11,13
129.250.2.54,13.156,11,13
129.250.2.54,14.398,11,13
129.250.2.54,13.125,11,13
129.250.2.54,13.482,11,13
129.250.2.54,12.87,11,13
129.250.2.54,13.398,11,13
129.250.2.54,13.936,11,13
129.250.2.54,13.69,11,13
129.250.2.54,12.841,11,13
129.250.2.54,12.423,11,13
129.250.2.54,12.775,11,13
129.250.2.54,14.655,11,13
129.250.2.54,12.485,11,13
129.250.2.54,13.287,11,13
129.250.2.54,14.804,11,13
129.250.2.54,13.865,11,13
129.250.2.54,13.114,11,13
129.250.2.54,12.978,11,13
129.250.2.54,12.528,11,13
129.250.2.54,12.464,11,13
129.250.2.54,13.61,11,13
129.250.2.54,13.297,11,13
129.250.2.54,14.53,11,13
129.250.2.54,15.69,11,13
129.250.2.54,14.724,11,13
129.250.2.54,11.933,11,13
129.250.2.54,14.075,11,13
129.250.2.54,13.65,11,13
129.250.2.54,13.963,11,13
129.250.2.54,13.484,11,13
129.250.2.54,14.472,11,13
129.250.2.54,13.68,11,13
129.250.2.54,13.03,11,13
129.250.2.54,13.463,11,13
129.250.2.54,12.391,11,13
129.250.2.54,13.881,11,13
129.250.2.54,12.984,11,13
129.250.2.54,12.844,11,13
129.250.2.54,12.891,11,13
129.250.2.54,14.638,11,13
129.250.2.54,13.473,11,13
129.250.2.54,13.007,11,13
129.250.2.54,13.287,11,13
129.250.2.54,13.794,11,13
129.250.2.54,13.809,11,13
129.250.2.54,13.148,11,13
129.250.2.54,12.454,11,13
129.250.2.54,43.65,11,13
129.250.2.54,14.179,11,13
129.250.2.54,12.509,11,13
129.250.2.54,13.059,11,13
129.250.2.54,13.898,11,13
129.250.2.54,13.678,11,13
129.250.2.54,13.274,11,13
129.250.2.54,12.804,11,13
129.250.2.54,13.839,11,13
129.250.2.54,13.153,11,13
129.250.2.54,14.298,11,13
129.250.2.54,13.48,11,13
129.250.2.54,16.578,11,13
129.250.2.54,19.574,11,13
129.250.2.54,18.008,11,13
129.250.2.54,22.816,11,13
129.250.2.54,17.993,11,13
129.250.2.54,18.077,11,13
