ip_address,rtt,salto_intercontinental,type,hop_num
129.67.242.155,16.411,false,0,23
129.67.242.154,11.534,false,0,23
129.67.242.155,11.952,false,0,23
129.67.242.154,14.044,false,0,23
129.67.242.155,10.906,false,0,23
129.67.242.154,12.065,false,0,23
129.67.242.155,11.31,false,0,23
129.67.242.154,11.803,false,0,23
129.67.242.155,11.959,false,0,23
129.67.242.154,11.773,false,0,23
129.67.242.155,11.973,false,0,23
129.67.242.154,11.752,false,0,23
129.67.242.155,12.157,false,0,23
129.67.242.154,12.003,false,0,23
129.67.242.155,13.567,false,0,23
129.67.242.154,12.659,false,0,23
129.67.242.155,12.178,false,0,23
129.67.242.154,13.455,false,0,23
129.67.242.155,12.105,false,0,23
129.67.242.154,14.417,false,0,23
129.67.242.155,14.271,false,0,23
129.67.242.154,12.199,false,0,23
129.67.242.155,12.418,false,0,23
