ip_address,rtt,salto_intercontinental,type,hop_num
186.0.137.10,10.483,false,11,7
186.0.137.10,12.293,false,11,7
186.0.137.10,10.734,false,11,7
186.0.137.10,12.102,false,11,7
186.0.137.10,11.963,false,11,7
186.0.137.10,11.03,false,11,7
186.0.137.10,11.436,false,11,7
200.0.17.181,13.898,false,11,8
200.0.17.181,11.531,false,11,8
200.0.17.181,11.515,false,11,8
200.0.17.181,10.711,false,11,8
200.0.17.181,11.221,false,11,8
200.0.17.181,10.15,false,11,8
200.0.17.181,11.46,false,11,8
200.0.17.181,11.548,false,11,8
200.0.17.181,12.904,false,11,8
200.0.17.181,12.097,false,11,8
200.0.17.181,11.947,false,11,8
200.0.17.181,12.213,false,11,8
200.0.17.181,12.57,false,11,8
200.0.17.181,11.371,false,11,8
200.0.17.181,12.652,false,11,8
200.0.17.181,10.975,false,11,8
200.0.17.181,12.091,false,11,8
200.0.17.181,11.493,false,11,8
200.0.17.181,12.364,false,11,8
200.0.17.181,11.914,false,11,8
200.0.17.181,13.03,false,11,8
200.0.17.181,11.933,false,11,8
200.0.17.181,12.234,false,11,8
200.0.17.181,11.882,false,11,8
200.0.17.181,10.879,false,11,8
200.0.17.181,14.493,false,11,8
200.0.17.181,12.17,false,11,8
200.0.17.181,13.273,false,11,8
200.0.17.181,13.59,false,11,8
200.0.17.181,14.48,false,11,8
104.16.153.6,10.785,false,0,9
104.16.154.6,8.855,false,0,9
104.16.155.6,9.745,false,0,9
104.16.151.6,10.257,false,0,9
104.16.152.6,10.746,false,0,9
104.16.153.6,10.106,false,0,9
104.16.154.6,10.264,false,0,9
104.16.155.6,9.759,false,0,9
104.16.151.6,11.219,false,0,9
104.16.152.6,10.637,false,0,9
104.16.153.6,10.322,false,0,9
104.16.154.6,11.582,false,0,9
104.16.155.6,11.322,false,0,9
104.16.151.6,10.312,false,0,9
104.16.152.6,10.232,false,0,9
104.16.153.6,10.248,false,0,9
104.16.154.6,10.549,false,0,9
104.16.155.6,11.269,false,0,9
104.16.151.6,10.765,false,0,9
104.16.152.6,12.335,false,0,9
104.16.153.6,10.599,false,0,9
104.16.154.6,10.984,false,0,9
104.16.155.6,11.559,false,0,9
104.16.151.6,10.808,false,0,9
104.16.152.6,10.283,false,0,9
104.16.153.6,11.284,false,0,9
104.16.154.6,12.209,false,0,9
104.16.155.6,10.254,false,0,9
104.16.151.6,10.993,false,0,9
104.16.152.6,10.367,false,0,9
